guid,title,pubDate,description,link,media
b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',"b""'Narcissist', 'Shameless Liar': Mary Trump's Book Gives an Insider View Into Making of US President""",b'2020-07-15T23:19:22+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1590724948_donald-trump-4.jpg' width='90' height='62' />The book is about how Donald Trump became the man he is today. And, the answer, of course, Mary claims, lies in his dysfunctional family, and his loveless upbringing.""",b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',
b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',"b""'Narcissist', 'Shameless Liar': Mary Trump's Book Gives an Insider View Into Making of US President""",b'2020-07-15T23:19:22+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1590724948_donald-trump-4.jpg' width='90' height='62' />The book is about how Donald Trump became the man he is today. And, the answer, of course, Mary claims, lies in his dysfunctional family, and his loveless upbringing.""",b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',
b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',"b""'Narcissist', 'Shameless Liar': Mary Trump's Book Gives an Insider View Into Making of US President""",b'2020-07-15T23:19:22+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1590724948_donald-trump-4.jpg' width='90' height='62' />The book is about how Donald Trump became the man he is today. And, the answer, of course, Mary claims, lies in his dysfunctional family, and his loveless upbringing.""",b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',
b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',"b""'Narcissist', 'Shameless Liar': Mary Trump's Book Gives an Insider View Into Making of US President""",b'2020-07-15T23:19:22+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1590724948_donald-trump-4.jpg' width='90' height='62' />The book is about how Donald Trump became the man he is today. And, the answer, of course, Mary claims, lies in his dysfunctional family, and his loveless upbringing.""",b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',
b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',"b""'Narcissist', 'Shameless Liar': Mary Trump's Book Gives an Insider View Into Making of US President""",b'2020-07-15T23:19:22+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1590724948_donald-trump-4.jpg' width='90' height='62' />The book is about how Donald Trump became the man he is today. And, the answer, of course, Mary claims, lies in his dysfunctional family, and his loveless upbringing.""",b'https://www.news18.com/news/books/narcissist-shameless-liar-mary-trumps-book-gives-insider-view-into-making-of-donald-trump-2717345.html',
b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',"b""'How's The Josh?': Here's How Manohar Parrikar Planned Surgical Strikes In Retaliation To Uri Attack""",b'2020-07-13T18:42:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/07/1594641820_untitled-design-2020-07-13t173257.546.png' width='90' height='62' />In the biography of the former defence minister and Goa's ex-CM  Manohar Parrikar, authors' Sadguru Patil and Mayabhushan outline how the surgical strikes were planned in retaliation to the Uri attack in 2016. \n\n""",b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',
b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',"b""'How's The Josh?': Here's How Manohar Parrikar Planned Surgical Strikes In Retaliation To Uri Attack""",b'2020-07-13T18:42:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/07/1594641820_untitled-design-2020-07-13t173257.546.png' width='90' height='62' />In the biography of the former defence minister and Goa's ex-CM  Manohar Parrikar, authors' Sadguru Patil and Mayabhushan outline how the surgical strikes were planned in retaliation to the Uri attack in 2016. \n\n""",b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',
b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',"b""'How's The Josh?': Here's How Manohar Parrikar Planned Surgical Strikes In Retaliation To Uri Attack""",b'2020-07-13T18:42:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/07/1594641820_untitled-design-2020-07-13t173257.546.png' width='90' height='62' />In the biography of the former defence minister and Goa's ex-CM  Manohar Parrikar, authors' Sadguru Patil and Mayabhushan outline how the surgical strikes were planned in retaliation to the Uri attack in 2016. \n\n""",b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',
b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',"b""'How's The Josh?': Here's How Manohar Parrikar Planned Surgical Strikes In Retaliation To Uri Attack""",b'2020-07-13T18:42:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/07/1594641820_untitled-design-2020-07-13t173257.546.png' width='90' height='62' />In the biography of the former defence minister and Goa's ex-CM  Manohar Parrikar, authors' Sadguru Patil and Mayabhushan outline how the surgical strikes were planned in retaliation to the Uri attack in 2016. \n\n""",b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',
b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',"b""'How's The Josh?': Here's How Manohar Parrikar Planned Surgical Strikes In Retaliation To Uri Attack""",b'2020-07-13T18:42:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/07/1594641820_untitled-design-2020-07-13t173257.546.png' width='90' height='62' />In the biography of the former defence minister and Goa's ex-CM  Manohar Parrikar, authors' Sadguru Patil and Mayabhushan outline how the surgical strikes were planned in retaliation to the Uri attack in 2016. \n\n""",b'https://www.news18.com/news/books/hows-the-josh-heres-how-manohar-parrikar-planned-surgical-strikes-in-retaliation-to-uri-attack-2713785.html',
